Year,Day of the Week,Filepath,Letter,Word,PredictionPairs
2016,TUE,2016/05/10.json,-1,-1,WRONG
1998,SAT,1998/06/13.json,-1,-1,WRONG
1999,WED,1999/12/22.json,-1,-1,WRONG
2011,SAT,2011/08/20.json,-1,-1,WRONG
1982,SAT,1982/01/23.json,-1,-1,WRONG
2005,MON,2005/12/12.json,-1,-1,WRONG
1990,MON,1990/12/10.json,-1,-1,WRONG
2002,MON,2002/02/25.json,-1,-1,WRONG
2002,TUE,2002/07/02.json,-1,-1,WRONG
2003,TUE,2003/04/15.json,-1,-1,WRONG
1977,THU,1977/06/16.json,-1,-1,WRONG
1982,MON,1982/12/27.json,-1,-1,WRONG
1996,WED,1996/12/04.json,-1,-1,WRONG
1979,FRI,1979/10/19.json,-1,-1,WRONG
2003,THU,2003/10/23.json,-1,-1,WRONG
1984,WED,1984/05/16.json,-1,-1,WRONG
1977,TUE,1977/03/15.json,-1,-1,WRONG
1997,WED,1997/01/22.json,-1,-1,WRONG
2010,SAT,2010/09/04.json,-1,-1,WRONG
1984,THU,1984/06/07.json,-1,-1,WRONG
2011,SAT,2011/01/22.json,-1,-1,WRONG
2002,MON,2002/06/17.json,-1,-1,WRONG
2003,MON,2003/07/28.json,-1,-1,WRONG
1991,THU,1991/08/01.json,-1,-1,WRONG
2010,SAT,2010/07/17.json,-1,-1,WRONG
2010,THU,2010/08/19.json,-1,-1,WRONG
1997,FRI,1997/05/02.json,-1,-1,WRONG
1998,TUE,1998/08/18.json,-1,-1,WRONG
1982,FRI,1982/10/29.json,-1,-1,WRONG
1998,SAT,1998/12/19.json,-1,-1,WRONG
1991,MON,1991/03/18.json,-1,-1,WRONG
1976,TUE,1976/11/23.json,-1,-1,WRONG
1998,WED,1998/05/06.json,-1,-1,WRONG
1979,FRI,1979/08/31.json,-1,-1,WRONG
1976,FRI,1976/11/05.json,-1,-1,WRONG
2010,SAT,2010/06/26.json,-1,-1,WRONG
1998,FRI,1998/12/11.json,-1,-1,WRONG
2010,FRI,2010/12/17.json,-1,-1,WRONG
1979,THU,1979/05/17.json,-1,-1,WRONG
1996,SAT,1996/12/21.json,-1,-1,WRONG
2011,THU,2011/07/07.json,-1,-1,WRONG
1978,FRI,1978/03/03.json,-1,-1,WRONG
1999,MON,1999/10/25.json,-1,-1,WRONG
1984,TUE,1984/02/14.json,-1,-1,WRONG
1996,THURS,1996/09/12.json,-1,-1,WRONG
1990,SAT,1990/12/08.json,-1,-1,WRONG
2010,TUE,2010/01/12.json,-1,-1,WRONG
1978,SAT,1978/12/23.json,-1,-1,WRONG
1976,THU,1976/09/09.json,-1,-1,WRONG
1979,SAT,1979/05/19.json,-1,-1,WRONG
2011,TUE,2011/10/18.json,-1,-1,WRONG
1999,MON,1999/11/01.json,-1,-1,WRONG
1984,TUE,1984/01/03.json,-1,-1,WRONG
2011,WED,2011/08/10.json,-1,-1,WRONG
2004,SAT,2004/04/17.json,-1,-1,WRONG
2010,WED,2010/05/12.json,-1,-1,WRONG
1976,MON,1976/01/26.json,-1,-1,WRONG
1984,THU,1984/12/13.json,-1,-1,WRONG
2002,TUE,2002/04/23.json,-1,-1,WRONG
2010,SAT,2010/06/12.json,-1,-1,WRONG
1991,FRI,1991/05/31.json,-1,-1,WRONG
1996,TUE,1996/01/30.json,-1,-1,WRONG
2016,WED,2016/09/21.json,-1,-1,WRONG
2003,TUE,2003/12/16.json,-1,-1,WRONG
1991,THU,1991/01/31.json,-1,-1,WRONG
1984,MON,1984/10/15.json,-1,-1,WRONG
1978,SAT,1978/02/18.json,-1,-1,WRONG
2003,FRI,2003/08/08.json,-1,-1,WRONG
2011,WED,2011/07/27.json,-1,-1,WRONG
1991,THU,1991/02/07.json,-1,-1,WRONG
1996,FRI,1996/07/26.json,-1,-1,WRONG
1997,MON,1997/03/17.json,-1,-1,WRONG
1997,MON,1997/01/13.json,-1,-1,WRONG
1977,THU,1977/05/26.json,-1,-1,WRONG
1977,WED,1977/08/10.json,-1,-1,WRONG
1998,THU,1998/05/07.json,-1,-1,WRONG
2003,WED,2003/04/23.json,-1,-1,WRONG
1985,THU,1985/03/07.json,-1,-1,WRONG
2003,TUE,2003/07/22.json,-1,-1,WRONG
2010,WED,2010/02/10.json,-1,-1,WRONG
2005,THU,2005/06/16.json,-1,-1,WRONG
2011,SAT,2011/02/26.json,-1,-1,WRONG
1999,SAT,1999/06/26.json,-1,-1,WRONG
2003,FRI,2003/10/17.json,-1,-1,WRONG
1991,SAT,1991/08/17.json,-1,-1,WRONG
1976,FRI,1976/05/28.json,-1,-1,WRONG
2004,THU,2004/08/26.json,-1,-1,WRONG
1996,WED,1996/10/09.json,-1,-1,WRONG
1982,THU,1982/06/10.json,-1,-1,WRONG
1997,THU,1997/10/09.json,-1,-1,WRONG
1998,WED,1998/10/21.json,-1,-1,WRONG
1990,MON,1990/08/20.json,-1,-1,WRONG
1997,FRI,1997/05/16.json,-1,-1,WRONG
1984,WED,1984/02/29.json,-1,-1,WRONG
1998,WED,1998/05/27.json,-1,-1,WRONG
1984,FRI,1984/12/21.json,-1,-1,WRONG
1991,TUE,1991/07/02.json,-1,-1,WRONG
1990,THU,1990/12/06.json,-1,-1,WRONG
2010,SAT,2010/01/09.json,-1,-1,WRONG
1976,SAT,1976/09/11.json,-1,-1,WRONG
2005,WED,2005/03/23.json,-1,-1,WRONG
2004,TUE,2004/03/16.json,-1,-1,WRONG
1976,FRI,1976/04/23.json,-1,-1,WRONG
1978,SAT,1978/08/05.json,-1,-1,WRONG
2011,MON,2011/10/17.json,-1,-1,WRONG
1982,WED,1982/12/01.json,-1,-1,WRONG
1979,THU,1979/10/25.json,-1,-1,WRONG
1990,TUE,1990/02/27.json,-1,-1,WRONG
2005,TUE,2005/05/24.json,-1,-1,WRONG
1997,MON,1997/03/24.json,-1,-1,WRONG
1990,MON,1990/05/28.json,-1,-1,WRONG
2016,FRI,2016/12/02.json,-1,-1,WRONG
1982,WED,1982/01/27.json,-1,-1,WRONG
2010,MON,2010/06/28.json,-1,-1,WRONG
2003,THU,2003/12/25.json,-1,-1,WRONG
2004,FRI,2004/10/29.json,-1,-1,WRONG
2011,WED,2011/03/02.json,-1,-1,WRONG
1990,TUE,1990/08/21.json,-1,-1,WRONG
1999,FRI,1999/08/13.json,-1,-1,WRONG
2011,SAT,2011/09/10.json,-1,-1,WRONG
1996,TUE,1996/03/05.json,-1,-1,WRONG
1985,MON,1985/04/01.json,-1,-1,WRONG
2016,MON,2016/05/30.json,-1,-1,WRONG
2003,MON,2003/04/14.json,-1,-1,WRONG
2004,FRI,2004/01/09.json,-1,-1,WRONG
1985,THU,1985/12/19.json,-1,-1,WRONG
1998,TUE,1998/01/06.json,-1,-1,WRONG
1998,FRI,1998/02/20.json,-1,-1,WRONG
2010,WED,2010/06/23.json,-1,-1,WRONG
2011,TUE,2011/09/20.json,-1,-1,WRONG
1977,THU,1977/10/06.json,-1,-1,WRONG
1991,THU,1991/06/13.json,-1,-1,WRONG
1978,WED,1978/07/12.json,-1,-1,WRONG
2004,MON,2004/06/21.json,-1,-1,WRONG
2011,TUE,2011/12/06.json,-1,-1,WRONG
2003,WED,2003/10/15.json,-1,-1,WRONG
1977,MON,1977/03/07.json,-1,-1,WRONG
1999,SAT,1999/06/05.json,-1,-1,WRONG
2005,TUE,2005/09/13.json,-1,-1,WRONG
1984,FRI,1984/05/18.json,-1,-1,WRONG
2004,SAT,2004/08/14.json,-1,-1,WRONG
1996,MON,1996/01/01.json,-1,-1,WRONG
2004,THU,2004/10/07.json,-1,-1,WRONG
2010,SAT,2010/06/05.json,-1,-1,WRONG
1999,FRI,1999/03/26.json,-1,-1,WRONG
2010,THU,2010/05/27.json,-1,-1,WRONG
1990,THU,1990/03/01.json,-1,-1,WRONG
2010,FRI,2010/11/26.json,-1,-1,WRONG
1997,WED,1997/10/15.json,-1,-1,WRONG
1991,FRI,1991/08/16.json,-1,-1,WRONG
1996,MON,1996/07/15.json,-1,-1,WRONG
2003,TUE,2003/03/25.json,-1,-1,WRONG
1978,THU,1978/01/26.json,-1,-1,WRONG
1985,TUE,1985/04/23.json,-1,-1,WRONG
1977,MON,1977/08/15.json,-1,-1,WRONG
2005,SAT,2005/11/26.json,-1,-1,WRONG
1999,FRI,1999/08/27.json,-1,-1,WRONG
1991,MON,1991/07/01.json,-1,-1,WRONG
2005,MON,2005/08/08.json,-1,-1,WRONG
1978,FRI,1978/04/21.json,-1,-1,WRONG
1997,SAT,1997/01/11.json,-1,-1,WRONG
1979,MON,1979/11/19.json,-1,-1,WRONG
2005,THU,2005/01/06.json,-1,-1,WRONG
1999,TUE,1999/06/08.json,-1,-1,WRONG
1996,MON,1996/05/13.json,-1,-1,WRONG
1982,FRI,1982/05/07.json,-1,-1,WRONG
1982,THU,1982/01/07.json,-1,-1,WRONG
2004,FRI,2004/08/27.json,-1,-1,WRONG
1991,MON,1991/09/23.json,-1,-1,WRONG
1996,MON,1996/11/18.json,-1,-1,WRONG
1976,MON,1976/05/10.json,-1,-1,WRONG
1997,THU,1997/10/30.json,-1,-1,WRONG
1999,SAT,1999/01/23.json,-1,-1,WRONG
2011,FRI,2011/03/04.json,-1,-1,WRONG
1998,WED,1998/08/19.json,-1,-1,WRONG
1985,THU,1985/04/25.json,-1,-1,WRONG
1991,TUE,1991/10/01.json,-1,-1,WRONG
2005,WED,2005/06/29.json,-1,-1,WRONG
1998,THU,1998/01/29.json,-1,-1,WRONG
2003,SAT,2003/05/17.json,-1,-1,WRONG
2011,MON,2011/10/10.json,-1,-1,WRONG
1979,THU,1979/03/15.json,-1,-1,WRONG
1985,FRI,1985/01/18.json,-1,-1,WRONG
1998,WED,1998/12/23.json,-1,-1,WRONG
1978,WED,1978/03/22.json,-1,-1,WRONG
1996,SAT,1996/09/07.json,-1,-1,WRONG
2010,MON,2010/10/11.json,-1,-1,WRONG
2004,TUE,2004/05/18.json,-1,-1,WRONG
1996,FRI,1996/02/02.json,-1,-1,WRONG
1978,SAT,1978/03/25.json,-1,-1,WRONG
1997,MON,1997/10/20.json,-1,-1,WRONG
2010,MON,2010/03/08.json,-1,-1,WRONG
1984,MON,1984/12/17.json,-1,-1,WRONG
1991,MON,1991/06/17.json,-1,-1,WRONG
2003,TUE,2003/07/01.json,-1,-1,WRONG
2010,SAT,2010/04/17.json,-1,-1,WRONG
2003,SAT,2003/06/28.json,-1,-1,WRONG
2002,WED,2002/04/17.json,-1,-1,WRONG
1979,MON,1979/08/13.json,-1,-1,WRONG
1979,TUE,1979/05/01.json,-1,-1,WRONG
